"","ID","Team","Opponent","Half","Minute","Event_Type","Start_X","Start_Y","End_X","End_Y","GLS","Linebreak","Prior_GLS","Type","Pass_Receipt","Source","Defenders_Infront","Distance","pitch_location"
"51","8","Billingham","Preston","Second Half",00:44:23,"Carry",65.66,16.13,71.45,12.76,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,6.7,"Halfway to Opposition 22"
"52","6","Billingham","Preston","Second Half",00:44:29,"Carry",67.02,22.76,70.26,24.11,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,3.51,"Halfway to Opposition 22"
"53","24","Billingham","Preston","Second Half",00:44:40,"Carry",54.93,54.65,56.97,55.1,"No GLS",0,0,"Other",NA,"Multi-Phase",NA,2.09,"Halfway to Opposition 22"
"54","13","Billingham","Preston","Second Half",00:44:55,"Carry",43.52,15.8,69.58,0.75,"GLS",0,0,"Other","On Target","Multi-Phase",NA,30.09,"Own 22 to Halfway"
"55","8","Billingham","Preston","Second Half",00:45:05,"Carry",63.45,11.08,68.39,10.97,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,4.94,"Halfway to Opposition 22"
"56","2","Billingham","Preston","Second Half",00:45:20,"Carry",77.58,68.69,77.58,68.69,"GLS",0,0,"Other","On Target","Multi-Phase",NA,0,"Halfway to Opposition 22"
"57","13","Billingham","Preston","Second Half",00:45:36,"Carry",61.74,14.78,74.69,7.48,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,14.87,"Halfway to Opposition 22"
"58","8","Billingham","Preston","Second Half",00:45:41,"Carry",74.18,4.79,100.07,2.21,"GLS",1,0,"Other","On Target","Multi-Phase",NA,26.02,"Halfway to Opposition 22"
"59","29","Billingham","Preston","Second Half",00:47:33,"Carry",34.83,6.14,40.11,9.73,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,6.38,"Own 22 to Halfway"
"60","3","Billingham","Preston","Second Half",00:47:38,"Carry",34.66,19.39,39.77,20.06,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,5.15,"Own 22 to Halfway"
"61","10","Billingham","Preston","Second Half",00:47:48,"Carry",29.89,37.81,33.81,24.11,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,14.25,"Own 22 to Halfway"
"62","24","Billingham","Preston","Second Half",00:47:52,"Carry",35.17,0.86,41.3,2.32,"GLS",0,0,"Other","On Target","Multi-Phase",NA,6.3,"Own 22 to Halfway"
"63","5","Billingham","Preston","Second Half",00:48:00,"Carry",36.02,12.2,40.28,14.9,"No GLS",0,1,"One Out","On Target","Multi-Phase",NA,5.04,"Own 22 to Halfway"
"64","10","Billingham","Preston","Second Half",00:50:00,"Carry",49.99,30.62,60.55,23.88,"No GLS",0,0,"Tap Pen","On Target","Multi-Phase",NA,12.53,"Own 22 to Halfway"
"65","15","Billingham","Preston","Second Half",00:50:04,"Carry",61.57,8.83,74.86,3.33,"No GLS",0,0,"Tap Pen","On Target","Multi-Phase",NA,14.38,"Halfway to Opposition 22"
"66","1","Billingham","Preston","Second Half",00:50:17,"Carry",56.29,41.51,63.96,53.08,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,13.88,"Halfway to Opposition 22"
"67","10","Billingham","Preston","Second Half",00:50:26,"Carry",53.06,23.21,56.46,25.57,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,4.14,"Halfway to Opposition 22"
"68","5","Billingham","Preston","Second Half",00:50:35,"Carry",52.21,35,57.14,36.68,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,5.21,"Halfway to Opposition 22"
"69","24","Billingham","Preston","Second Half",00:50:41,"Carry",57.31,2.32,58.17,1.98,"No GLS",0,1,"Other","On Target","Multi-Phase",NA,0.92,"Halfway to Opposition 22"
"70","15","Billingham","Preston","Second Half",00:58:24,"Carry",28.53,54.76,34.49,42.75,"No GLS",0,0,"Kick Return","On Target","Multi-Phase",NA,13.41,"Own 22 to Halfway"
"71","8","Billingham","Preston","Second Half",01:03:47,"Carry",89.85,11.86,91.04,16.13,"GLS",0,0,"Other",NA,"Multi-Phase",NA,4.43,"Opposition 22"
"72","18","Billingham","Preston","Second Half",01:04:34,"Carry",88.66,17.14,98.02,20.74,"No GLS",0,0,"Tap Pen","On Target","Multi-Phase",NA,10.03,"Opposition 22"
"73","8","Billingham","Preston","Second Half",01:04:42,"Carry",93.94,31.85,96.15,29.83,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,2.99,"Opposition 22"
"74","24","Billingham","Preston","Second Half",01:06:03,"Carry",17.12,27.92,28.19,8.27,"No GLS",0,0,"Kick Return","On Target","Multi-Phase",NA,22.55,"Own 22"
