id,opposition,Event,Value
Ath8,Durham Uni,linebreak,0
Ath8,Durham Uni,defender beaten,2
Ath8,Harrogate,try,0
Ath8,Harrogate,try assist,0
Ath8,Harrogate,tackle,6
Ath8,Harrogate,dominant tackle,1
Ath8,Harrogate,missed tackle,1
Ath8,Harrogate,carry,4
Ath8,Harrogate,gls,1
Ath8,Harrogate,linebreak,0
Ath8,Harrogate,defender beaten,0
Ath9,Durham Uni,try,0
Ath9,Durham Uni,try assist,0
Ath9,Durham Uni,tackle,0
Ath9,Durham Uni,dominant tackle,0
Ath9,Durham Uni,missed tackle,0
Ath9,Durham Uni,carry,2
Ath9,Durham Uni,gls,0
Ath9,Durham Uni,linebreak,0
Ath9,Durham Uni,defender beaten,0
Ath9,Harrogate,try,0
Ath9,Harrogate,try assist,0
Ath9,Harrogate,tackle,0
Ath9,Harrogate,dominant tackle,0
Ath9,Harrogate,missed tackle,0
Ath9,Harrogate,carry,3
Ath9,Harrogate,gls,1
Ath9,Harrogate,linebreak,0
Ath9,Harrogate,defender beaten,1
Team,Harrogate,try,0
Team,Harrogate,try assist,0
Team,Harrogate,tackle,0
Team,Harrogate,dominant tackle,0
Team,Harrogate,missed tackle,0
Team,Harrogate,carry,0
Team,Harrogate,gls,0
Team,Harrogate,linebreak,0
Team,Harrogate,defender beaten,0
