"","ID","Team","Opponent","Half","Minute","Event_Type","Tackle_Type","Outcome","Start_X","Start_Y","pitch_location","pitch_width"
"103","27","Billingham","Preston","Second Half",01:17:30,"Tackle","Successful","Neutral",61.91,65.21,"Halfway to Opposition 22","Upper 15"
"104","14","Billingham","Preston","Second Half",01:17:30,"Tackle","Assist","Neutral",61.4,64.98,"Halfway to Opposition 22","Upper 15"
"105","6","Billingham","Preston","Second Half",01:17:38,"Tackle","Successful","Neutral",61.23,53.75,"Halfway to Opposition 22","Between 15's"
"106","16","Billingham","Preston","Second Half",01:17:38,"Tackle","Assist","Neutral",60.38,53.3,"Halfway to Opposition 22","Between 15's"
"107","6","Billingham","Preston","Second Half",01:17:47,"Tackle","Successful","Neutral",52.03,64.31,"Halfway to Opposition 22","Upper 15"
"108","5","Billingham","Preston","Second Half",01:17:57,"Tackle","Missed","Neutral",43.01,51.39,"Own 22 to Halfway","Between 15's"
"109","30","Billingham","Preston","Second Half",01:17:58,"Tackle","Successful","Neutral",41.64,51.17,"Own 22 to Halfway","Between 15's"
"110","6","Billingham","Preston","Second Half",01:20:26,"Tackle","Successful","Neutral",82.01,56.56,"Oppostion 22","Upper 15"
"111","19","Billingham","Preston","Second Half",01:20:32,"Tackle","Successful","Neutral",81.16,51.39,"Oppostion 22","Between 15's"
"112","16","Billingham","Preston","Second Half",01:20:32,"Tackle","Assist","Neutral",81.16,52.07,"Oppostion 22","Between 15's"
"113","13","Billingham","Preston","Second Half",01:24:10,"Tackle","Successful","Passive",32.45,65.21,"Own 22 to Halfway","Upper 15"
"114","5","Billingham","Preston","Second Half",01:24:18,"Tackle","Missed","Passive",19.33,64.53,"Own 22","Upper 15"
"115","30","Billingham","Preston","Second Half",01:24:19,"Tackle","Successful","Neutral",19.67,63.75,"Own 22","Upper 15"
"116","12","Billingham","Preston","Second Half",01:24:30,"Tackle","Missed","Passive",21.38,30.06,"Own 22","Between 15's"
"117","27","Billingham","Preston","Second Half",01:24:30,"Tackle","Successful","Neutral",21.03,29.72,"Own 22","Between 15's"
"118","5","Billingham","Preston","Second Half",01:24:43,"Tackle","Successful","Neutral",21.21,34.21,"Own 22","Between 15's"
"119","8","Billingham","Preston","Second Half",01:24:43,"Tackle","Assist","Neutral",21.21,34.89,"Own 22","Between 15's"
"120","6","Billingham","Preston","Second Half",01:26:44,"Tackle","Successful","Neutral",64.3,55.21,"Halfway to Opposition 22","Upper 15"
"121","18","Billingham","Preston","Second Half",01:26:52,"Tackle","Successful","Neutral",62.94,48.25,"Halfway to Opposition 22","Between 15's"
"122","13","Billingham","Preston","Second Half",01:28:32,"Tackle","Missed","Passive",7.07,32.08,"Own 22","Between 15's"
"123","27","Billingham","Preston","Second Half",01:28:33,"Tackle","Successful","Neutral",5.19,35.22,"Own 22","Between 15's"
"124","6","Billingham","Preston","Second Half",01:28:37,"Tackle","Missed","Passive",5.19,41.18,"Own 22","Between 15's"
"125","18","Billingham","Preston","Second Half",01:28:40,"Tackle","Successful","Neutral",2.13,38.59,"Own 22","Between 15's"
"126","8","Billingham","Preston","Second Half",01:28:47,"Tackle","Successful","Neutral",4.68,37.24,"Own 22","Between 15's"
"127","30","Billingham","Preston","Second Half",01:28:47,"Tackle","Assist","Neutral",2.47,39.94,"Own 22","Between 15's"
"128","8","Billingham","Preston","Second Half",01:28:51,"Tackle","Successful","Neutral",3.66,43.65,"Own 22","Between 15's"
"129","16","Billingham","Preston","Second Half",01:29:21,"Tackle","Successful","Neutral",2.81,37.69,"Own 22","Between 15's"
"130","4","Billingham","Preston","Second Half",01:29:21,"Tackle","Assist","Neutral",2.81,37.92,"Own 22","Between 15's"
"131","5","Billingham","Preston","Second Half",01:29:27,"Tackle","Successful","Neutral",2.13,30.17,"Own 22","Between 15's"
"132","12","Billingham","Preston","Second Half",01:29:29,"Tackle","Successful","Neutral",4.17,30.06,"Own 22","Between 15's"
"133","27","Billingham","Preston","Second Half",01:29:30,"Tackle","Assist","Neutral",4.34,28.37,"Own 22","Between 15's"
"134","12","Billingham","Wharfedale","Second Half",00:45:56,"Tackle","Missed","Passive",85.93,36.75,"Oppostion 22","Between 15's"
"135","27","Billingham","Wharfedale","Second Half",00:45:57,"Tackle","Successful","Neutral",82.71,37.2,"Oppostion 22","Between 15's"
"136","13","Billingham","Wharfedale","Second Half",00:46:01,"Tackle","Successful","Neutral",74.29,36.3,"Halfway to Opposition 22","Between 15's"
"137","6","Billingham","Wharfedale","Second Half",00:46:11,"Tackle","Successful","Neutral",66.03,10.05,"Halfway to Opposition 22","Lower 15"
"138","10","Billingham","Wharfedale","Second Half",00:46:12,"Tackle","Successful","Neutral",61.29,9.82,"Halfway to Opposition 22","Lower 15"
"139","27","Billingham","Wharfedale","Second Half",00:46:13,"Tackle","Assist","Neutral",60.06,8.48,"Halfway to Opposition 22","Lower 15"
"140","24","Billingham","Wharfedale","Second Half",00:46:16,"Tackle","Successful","Dominant",60.22,9.71,"Halfway to Opposition 22","Lower 15"
"141","9","Billingham","Wharfedale","Second Half",00:47:03,"Tackle","Missed","Passive",33.13,18.13,"Own 22 to Halfway","Between 15's"
"142","10","Billingham","Wharfedale","Second Half",00:47:04,"Tackle","Missed","Neutral",26.24,18.58,"Own 22 to Halfway","Between 15's"
"143","2","Billingham","Wharfedale","Second Half",00:47:14,"Tackle","Successful","Neutral",26.55,33.05,"Own 22 to Halfway","Between 15's"
"144","27","Billingham","Wharfedale","Second Half",00:47:19,"Tackle","Successful","Neutral",21.96,33.16,"Own 22","Between 15's"
"145","9","Billingham","Wharfedale","Second Half",00:47:23,"Tackle","Successful","Neutral",20.73,33.83,"Own 22","Between 15's"
"146","31","Billingham","Wharfedale","Second Half",00:47:28,"Tackle","Successful","Neutral",12.16,35.52,"Own 22","Between 15's"
"147","9","Billingham","Wharfedale","Second Half",00:50:28,"Tackle","Successful","Neutral",68.17,26.99,"Halfway to Opposition 22","Between 15's"
"148","31","Billingham","Wharfedale","Second Half",00:50:35,"Tackle","Successful","Neutral",69.4,14.54,"Halfway to Opposition 22","Lower 15"
"149","1","Billingham","Wharfedale","Second Half",01:06:51,"Tackle","Successful","Dominant",62.36,12.4,"Halfway to Opposition 22","Lower 15"
"150","14","Billingham","Wharfedale","Second Half",01:08:20,"Tackle","Successful","Neutral",50.42,65.25,"Halfway to Opposition 22","Upper 15"
"151","27","Billingham","Wharfedale","Second Half",01:08:28,"Tackle","Successful","Neutral",47.97,51.56,"Own 22 to Halfway","Between 15's"
"152","30","Billingham","Wharfedale","Second Half",01:11:41,"Tackle","Successful","Neutral",75.06,28,"Halfway to Opposition 22","Between 15's"
"153","18","Billingham","Wharfedale","Second Half",01:11:49,"Tackle","Successful","Neutral",70.77,15.43,"Halfway to Opposition 22","Between 15's"
"154","30","Billingham","Wharfedale","Second Half",01:11:56,"Tackle","Successful","Neutral",71.54,27.89,"Halfway to Opposition 22","Between 15's"
"155","29","Billingham","Wharfedale","Second Half",01:11:56,"Tackle","Assist","Neutral",70.01,28.11,"Halfway to Opposition 22","Between 15's"
"156","12","Billingham","Wharfedale","Second Half",01:15:54,"Tackle","Missed","Passive",50.88,20.82,"Halfway to Opposition 22","Between 15's"
"157","13","Billingham","Wharfedale","Second Half",01:16:01,"Tackle","Missed","Passive",35.58,53.47,"Own 22 to Halfway","Between 15's"
"158","9","Billingham","Wharfedale","Second Half",01:16:03,"Tackle","Missed","Passive",32.21,52.46,"Own 22 to Halfway","Between 15's"
"159","31","Billingham","Wharfedale","Second Half",01:16:03,"Tackle","Missed","Passive",31.6,53.13,"Own 22 to Halfway","Between 15's"
"160","1","Billingham","Wharfedale","Second Half",01:16:04,"Tackle","Successful","Neutral",25.32,51.79,"Own 22 to Halfway","Between 15's"
"161","15","Billingham","Wharfedale","Second Half",01:16:04,"Tackle","Successful","Neutral",24.71,51.67,"Own 22 to Halfway","Between 15's"
"162","29","Billingham","Wharfedale","Second Half",01:16:11,"Tackle","Successful","Neutral",26.85,40.57,"Own 22 to Halfway","Between 15's"
"163","13","Billingham","Wharfedale","Second Half",01:16:11,"Tackle","Assist","Neutral",25.48,40.12,"Own 22 to Halfway","Between 15's"
"164","9","Billingham","Wharfedale","Second Half",01:19:14,"Tackle","Missed","Neutral",27.93,4.55,"Own 22 to Halfway","Lower 15"
"165","1","Billingham","Wharfedale","Second Half",01:19:16,"Tackle","Successful","Neutral",25.02,7.02,"Own 22 to Halfway","Lower 15"
"166","29","Billingham","Wharfedale","Second Half",01:19:23,"Tackle","Successful","Neutral",26.55,14.65,"Own 22 to Halfway","Lower 15"
"167","10","Billingham","Wharfedale","Second Half",01:19:23,"Tackle","Assist","Neutral",26.4,14.65,"Own 22 to Halfway","Lower 15"
"168","30","Billingham","Wharfedale","Second Half",01:19:34,"Tackle","Successful","Neutral",27.62,27.66,"Own 22 to Halfway","Between 15's"
"169","12","Billingham","Wharfedale","Second Half",01:19:42,"Tackle","Successful","Neutral",26.7,54.03,"Own 22 to Halfway","Between 15's"
"170","13","Billingham","Wharfedale","Second Half",01:19:42,"Tackle","Assist","Neutral",27.01,54.37,"Own 22 to Halfway","Between 15's"
"171","31","Billingham","Wharfedale","Second Half",01:19:52,"Tackle","Successful","Neutral",25.02,38.99,"Own 22 to Halfway","Between 15's"
"172","18","Billingham","Wharfedale","Second Half",01:20:51,"Tackle","Successful","Neutral",40.02,10.72,"Own 22 to Halfway","Lower 15"
"173","12","Billingham","Wharfedale","Second Half",01:20:58,"Tackle","Missed","Neutral",50.42,34.73,"Halfway to Opposition 22","Between 15's"
