"","ID","Team","Opponent","Half","Minute","Event_Type","Start_X","Start_Y","End_X","End_Y","GLS","Linebreak","Prior_GLS","Type","Pass_Receipt","Source","Defenders_Infront","Distance","pitch_location"
"45","1","Anselmians","Huddersfield","First Half",00:32:27,"Carry",45.16,34.96,54.94,35.86,"GLS",0,0,"Other","On Target","Multi-Phase",NA,9.82,"Own 22 to Halfway"
"46","17","Anselmians","Huddersfield","First Half",00:32:32,"Carry",53.06,58.34,57.7,60.7,"GLS",0,0,"Other","On Target","Multi-Phase",NA,5.21,"Halfway to Opposition 22"
"47","2","Anselmians","Huddersfield","First Half",00:33:25,"Carry",79.26,56.54,80.51,55.87,"GLS",0,0,"Other",NA,"Lineout",NA,1.42,"Opposition 22"
"48","4","Anselmians","Huddersfield","First Half",00:33:33,"Carry",77,31.58,80.64,31.25,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,3.65,"Halfway to Opposition 22"
"49","9","Anselmians","Huddersfield","First Half",00:38:13,"Carry",6.42,43.05,11.06,38.44,"GLS",0,0,"Pick & Go",NA,"Scrum",NA,6.54,"Own 22"
"50","18","Anselmians","Huddersfield","First Half",00:38:25,"Carry",18.71,54.97,39.89,69.81,"GLS",1,0,"Other","On Target","Multi-Phase",NA,25.86,"Own 22"
"51","10","Anselmians","Huddersfield","First Half",00:41:02,"Carry",73.87,62.61,75.37,61.27,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,2.01,"Halfway to Opposition 22"
"52","17","Anselmians","Huddersfield","First Half",00:42:38,"Carry",73.74,61.72,70.98,57.22,"No GLS",0,0,"Pick & Go",NA,"Scrum",NA,5.28,"Halfway to Opposition 22"
"53","8","Anselmians","Huddersfield","First Half",00:42:44,"Carry",64.21,48.79,69.61,49.01,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,5.4,"Halfway to Opposition 22"
"54","1","Anselmians","Huddersfield","First Half",00:42:50,"Carry",63.71,22.14,68.35,21.13,"No GLS",0,1,"One Out","On Target","Multi-Phase",NA,4.75,"Halfway to Opposition 22"
"55","2","Anselmians","Huddersfield","First Half",00:44:00,"Carry",94.93,5.73,98.31,8.09,"GLS",0,1,"Other",NA,"Lineout",NA,4.12,"Opposition 22"
"56","17","Anselmians","Huddersfield","First Half",00:44:12,"Carry",92.17,27.42,94.43,30.23,"No GLS",0,1,"Other",NA,"Lineout",NA,3.61,"Opposition 22"
"57","19","Anselmians","Huddersfield","First Half",00:44:19,"Carry",94.8,41.82,99.44,41.37,"GLS",0,1,"Other",NA,"Multi-Phase",NA,4.66,"Opposition 22"
"58","11","Anselmians","Huddersfield","First Half",00:44:25,"Carry",93.3,65.09,100.32,68.57,"GLS",1,1,"Other","On Target","Multi-Phase",NA,7.84,"Opposition 22"
"59","6","Anselmians","Leek","Second Half",00:53:31,"Carry",30.91,14.67,31.25,14.56,"No GLS",0,0,"Support Carry","On Target","Multi-Phase",NA,0.36,"Own 22 to Halfway"
"60","21","Anselmians","Leek","Second Half",00:53:36,"Carry",33.63,21.41,35.17,22.42,"No GLS",0,0,"Kick Return","On Target","Multi-Phase",NA,1.84,"Own 22 to Halfway"
"61","7","Anselmians","Leek","Second Half",00:53:42,"Carry",31.59,35,32.1,36.68,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,1.76,"Own 22 to Halfway"
"62","10","Anselmians","Leek","Second Half",00:53:48,"Carry",27.67,50.27,33.98,52.07,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,6.56,"Own 22 to Halfway"
"63","20","Anselmians","Leek","Second Half",00:53:54,"Carry",32.1,63.75,37.04,64.31,"GLS",0,0,"Other","On Target","Multi-Phase",NA,4.97,"Own 22 to Halfway"
"64","19","Anselmians","Leek","Second Half",00:56:27,"Carry",77.93,36.23,82.53,36.68,"GLS",0,0,"Other","On Target","Multi-Phase",NA,4.62,"Halfway to Opposition 22"
"65","14","Anselmians","Leek","Second Half",00:57:26,"Carry",44.54,5.35,54.59,6.81,"No GLS",0,0,"Kick Return","On Target","Multi-Phase",NA,10.16,"Own 22 to Halfway"
"66","6","Anselmians","Leek","Second Half",00:58:24,"Carry",29.55,14.11,30.4,16.13,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,2.19,"Own 22 to Halfway"
"67","20","Anselmians","Leek","Second Half",00:59:00,"Carry",55.95,53.64,99.9,34.89,"GLS",1,0,"Other","On Target","Multi-Phase",NA,47.78,"Halfway to Opposition 22"
"68","21","Anselmians","Leek","Second Half",01:00:35,"Carry",28.18,19.95,28.86,16.91,"No GLS",0,0,"Kick Return","On Target","Multi-Phase",NA,3.12,"Own 22 to Halfway"
"69","20","Anselmians","Leek","Second Half",01:01:51,"Carry",30.91,35,35.51,37.69,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,5.33,"Own 22 to Halfway"
"70","6","Anselmians","Leek","Second Half",01:02:02,"Carry",31.76,28.26,34.66,26.01,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,3.67,"Own 22 to Halfway"
"71","14","Anselmians","Leek","Second Half",01:11:57,"Carry",6.72,14.67,23.58,14.78,"No GLS",0,1,"Kick Return",NA,"Multi-Phase",NA,16.86,"Own 22"
"72","6","Anselmians","Leek","Second Half",01:12:11,"Carry",17.96,25.23,47.77,20.62,"GLS",1,1,"One Out","On Target","Multi-Phase",NA,30.16,"Own 22"
"73","13","Anselmians","Leek","Second Half",01:12:22,"Carry",50.16,69.14,65.15,61.84,"GLS",0,1,"Other","On Target","Multi-Phase",NA,16.67,"Halfway to Opposition 22"
