"","ID","game_day","Altitude_Desc","Soreness_1","Distance","Distancemin","HighSpeedRunning","HSRmin","PlayerLoad","Playerloadmin"
"59",77,"GD -2","Sea Level",10,2125,34.27419355,0,0,259.1872253,4.180439118
"60",89,"GD -2","Sea Level",7,4239,68.37096774,312,5.032258065,411.0349121,6.629595356
"61",91,"GD -2","Sea Level",3,3848,62.06451613,332,5.35483871,428.0180054,6.903516216
"62",95,"GD -2","Sea Level",7,4989,80.46774194,60,0.967741935,417.3286133,6.731106666
"63",100,"GD -2","Sea Level",10,3524,56.83870968,125,2.016129032,354.2998352,5.714513471
"64",109,"GD -2","Sea Level",7,4338,69.96774194,152,2.451612903,401.8023987,6.48068385
"65",128,"GD -2","Sea Level",9,3422,55.19354839,46,0.741935484,293.7552795,4.737988379
"66",130,"GD -2","Sea Level",6,1830,53.82352941,210,6.176470588,259.2765808,7.625781788
"67",153,"GD -2","Sea Level",7,3555,57.33870968,116,1.870967742,364.2440796,5.87490451
"68",159,"GD -2","Sea Level",6,4502,72.61290323,153,2.467741935,439.8460999,7.094291934
"69",166,"GD -2","Sea Level",9,4296,69.29032258,202,3.258064516,397.5195007,6.41160485
"70",178,"GD -2","Sea Level",9,1661,48.85294118,213,6.264705882,213.4129181,6.276850532
"71",188,"GD -2","Sea Level",7,4063,65.53225806,184,2.967741935,400.2650757,6.455888318
"72",213,"GD -2","Sea Level",5,4040,65.16129032,118,1.903225806,403.7747498,6.512495965
"73",2,"GD -2","Low",4,2736,68.4,161,4.025,309.5147705,7.737869263
"74",4,"GD -2","Low",10,3154,78.85,52,1.3,339.4794312,8.48698578
"75",8,"GD -2","Low",6,3009,75.225,199,4.975,312.0276489,7.800691223
"76",10,"GD -2","Low",9,2761,69.025,187,4.675,281.3972168,7.03493042
"77",16,"GD -2","Low",9,4684,90.07692308,232,4.461538462,471.584259,9.068928058
"78",27,"GD -2","Low",8,3636,69.92307692,74,1.423076923,403.3868408,7.757439246
"79",30,"GD -2","Low",7,3668,91.7,356,8.9,396.281311,9.907032775
"80",84,"GD -2","Low",5,2069,51.725,142,3.55,248.1827087,6.204567718
"81",91,"GD -2","Low",9,2134,53.35,60,1.5,281.5356445,7.038391113
"82",95,"GD -2","Low",9,3175,79.375,74,1.85,307.9604187,7.699010468
"83",100,"GD -2","Low",5,2130,44.375,194,4.041666667,233.7657776,4.870120367
"84",109,"GD -2","Low",9,2818,70.45,111,2.775,261.1426697,6.528566743
"85",136,"GD -2","Low",8,2751,68.775,121,3.025,263.3266907,6.583167268
"86",162,"GD -2","Low",10,2400,72.72727273,55,1.666666667,340.62,10.32181818
"87",178,"GD -2","Low",10,1809,46.38461538,125,3.205128205,199.1207733,5.105660854
