ID,Opposition,TD,MPM,HSR,SD,TS,Accels,Decels,Max_Accel,Max_Decel,cv_Accels,cv_Decels,cv_HSR,cv_MPM,cv_Max_Accel,cv_Max_Decel,cv_SD,cv_TD,cv_TS,TD_Sumcv,MPM_Sumcv,HSR_Sumcv,SD_Sumcv,TS_Sumcv,Accels_Sumcv,Decels_Sumcv,Max_Accel_Sumcv,Max_Decel_Sumcv,TD_Subcv,MPM_Subcv,HSR_Subcv,SD_Subcv,TS_Subcv,Accels_Subcv,Decels_Subcv,Max_Accel_Subcv,Max_Decel_Subcv
Ath16,Durham Uni,0,0,0,0,0,0,0,0,0,,,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,,,173.2050808,173.2050808,-173.2050808,-173.2050808,-173.2050808,-173.2050808,-173.2050808,,,-173.2050808,-173.2050808
Ath17,Durham Uni,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath18,Durham Uni,0,0,0,0,0,0,0,0,0,,,93.2630631,93.77488518,106.9993435,109.1606028,86.75874527,86.62059263,88.2308756,86.62059263,93.77488518,93.2630631,86.75874527,88.2308756,,,106.9993435,109.1606028,-86.62059263,-93.77488518,-93.2630631,-86.75874527,-88.2308756,,,-106.9993435,-109.1606028
Ath20,Durham Uni,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath21,Durham Uni,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath22,Durham Uni,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath23,Durham Uni,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath24,Durham Uni,0,0,0,0,0,0,0,0,0,,,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,,,173.2050808,173.2050808,-173.2050808,-173.2050808,-173.2050808,-173.2050808,-173.2050808,,,-173.2050808,-173.2050808
Ath25,Durham Uni,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath27,Durham Uni,0,0,0,0,0,0,0,0,0,,,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,,,141.4213562,141.4213562,-141.4213562,-141.4213562,-141.4213562,-141.4213562,-141.4213562,,,-141.4213562,-141.4213562
