"","ID","Team","Opponent","Half","Minute","Event_Type","X_Start","X_End","Y_Start","Y_End","Type","Body_Part","Rec_Player","Complete","Height","Comp","BP","dx","dy","distance","angle","pass_deg","xP","PAx"
"93","Ath2","Hartlepool","Rotherham","First Half",00:37:07,"Pass",69.83,65.68,14.71,25.92,"Standard","Right Foot",7,"Completed","Ground",1,1,-4.14999999999999,11.21,11.95,1.93,110.58,0.71,0.29
"94","Ath7","Hartlepool","Rotherham","First Half",00:37:09,"Pass",61.37,44.45,26.86,44.84,"Standard","Left Foot",6,"Completed","Ground",1,2,-16.92,17.98,24.69,2.33,133.5,0.55,0.45
"95","Ath6","Hartlepool","Rotherham","First Half",00:37:11,"Pass",41.92,17.28,46.47,45.31,"Standard","Right Foot",1,"Completed","Ground",1,1,-24.64,-1.16,24.67,-3.09,-177.04,0.75,0.25
"96","Ath1","Hartlepool","Rotherham","First Half",00:37:16,"Pass",16.98,20.99,47.18,63.99,"Standard","Right Foot",6,"Completed","Ground",1,1,4.01,16.81,17.28,1.34,76.78,0.69,0.31
"97","Ath6","Hartlepool","Rotherham","First Half",00:37:18,"Pass",20.55,28.27,71.93,93.19,"Standard","Right Foot",3,"Completed","Ground",1,1,7.72,21.26,22.62,1.22,69.9,0.64,0.36
"98","Ath3","Hartlepool","Rotherham","First Half",00:37:18,"Pass",25.89,50.98,97.62,92.02,"Other","Left Foot",9,"Completed","High",1,2,25.09,-5.60000000000001,25.71,-0.22,-12.61,0.62,0.38
"99","Ath9","Hartlepool","Rotherham","First Half",00:37:23,"Pass",51.87,58.11,88.98,76.84,"Other","Head",10,"Completed","High",1,3,6.24,-12.14,13.65,-1.1,-63.03,0.72,0.28
"100","Ath10","Hartlepool","Rotherham","First Half",00:37:24,"Pass",58.55,61.67,75.2,97.16,"Other","Right Foot",60,"Incompleted","Low",0,1,3.12,21.96,22.18,1.43,81.93,0.64,-0.64
"101","Ath8","Hartlepool","Rotherham","First Half",00:37:55,"Pass",36.13,49.79,81.04,85.48,"Standard","Head",10,"Completed","Low",1,3,13.66,4.44,14.36,0.31,17.76,0.67,0.33
"102","Ath10","Hartlepool","Rotherham","First Half",00:37:56,"Pass",49.94,47.71,81.51,88.52,"Standard","Right Foot",60,"Incompleted","Ground",0,1,-2.23,7.00999999999999,7.36,1.88,107.72,0.75,-0.75
"103","Ath1","Hartlepool","Rotherham","First Half",00:41:22,"Pass",22.33,60.93,70.3,89.45,"Long","Right Foot",60,"Incompleted","High",0,1,38.6,19.15,43.09,0.46,26.36,0.47,-0.47
"104","Ath11","Hartlepool","Rotherham","First Half",00:41:26,"Pass",56.03,61.67,90.15,81.98,"Standard","Head",60,"Incompleted","High",0,3,5.64,-8.17,9.93,-0.97,-55.58,0.75,-0.75
"105","Ath11","Hartlepool","Rotherham","First Half",00:41:29,"Pass",57.07,66.27,90.38,76.37,"Standard","Head",59,"Completed","High",1,3,9.2,-14.01,16.76,-0.99,-56.72,0.69,0.31
"106","Ath3","Hartlepool","Rotherham","First Half",00:42:19,"Pass",7.48,18.62,62.36,59.79,"Standard","Head",4,"Completed","Ground",1,3,11.14,-2.57,11.43,-0.23,-13.18,0.72,0.28
"107","Ath4","Hartlepool","Rotherham","First Half",00:42:20,"Pass",20.1,18.76,59.09,41.57,"Standard","Right Foot",2,"Completed","Ground",1,1,-1.34,-17.52,17.57,-1.65,-94.54,0.77,0.23
"108","Ath2","Hartlepool","Rotherham","First Half",00:42:20,"Pass",18.02,83.79,40.4,26.39,"Through Ball","Right Foot",60,"Incompleted","Low",0,1,65.77,-14.01,67.25,-0.21,-12.03,0.27,-0.27
"109","Ath8","Hartlepool","Rotherham","First Half",00:46:51,"Pass",25,37.47,50.91,45.54,"Standard","Head",11,"Completed","Low",1,3,12.47,-5.37,13.58,-0.41,-23.49,0.7,0.3
"110","Ath11","Hartlepool","Rotherham","First Half",00:46:53,"Pass",39.7,44.74,42.97,40.64,"Standard","Right Foot",60,"Incompleted","High",0,1,5.04,-2.33,5.55,-0.43,-24.64,0.82,-0.82
"111","Ath4","Hartlepool","Rotherham","First Half",00:47:49,"Pass",37.17,39.85,50.91,38.53,"Standard","Right Foot",7,"Completed","Ground",1,1,2.68,-12.38,12.67,-1.36,-77.92,0.79,0.21
"112","Ath7","Hartlepool","Rotherham","First Half",00:47:51,"Pass",40.14,70.43,39.23,4.67,"Standard","Left Foot",9,"Completed","Ground",1,2,30.29,-34.56,45.96,-0.85,-48.7,0.44,0.56
