"","ID","Team","Opponent","Half","Minute","Event_Type","X_Start","Y_Start","X_End","Y_End","Additional_Info","Type","Body_Part","Rec_Player","Complete","Height","Corner_Type","Outcome","Foul_Type","Event_Won","Offence","Shot_Outcome","Possession_Type","GK_Type","Interception_Type","Assist_Type","Card_Type","Duel_Type","Duel_Outcome","Dribble_Outcome","Beaten_By","Block_Outcome","Block_Body_Part","Clearance_Type","Player_On","Player_Off","Sub_Type"
"44",9,"Hartlepool","Rotherham","First Half",00:11:08,"Duel",66.42,28.02,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aerial","Won",NA,NA,NA,NA,NA,NA,NA,NA
"45",2,"Hartlepool","Rotherham","First Half",00:11:11,"Duel",59.74,8.87,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aerial","Won",NA,NA,NA,NA,NA,NA,NA,NA
"46",2,"Hartlepool","Rotherham","First Half",00:11:27,"Throw in",52.76,-0.47,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,"Retained",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",6,"Hartlepool","Rotherham","First Half",00:11:30,"Pass",34.65,7.94,44.15,3.03,NA,"Standard","Right Foot","Ath2","Completed","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2,"Hartlepool","Rotherham","First Half",00:11:32,"Pass",47.71,2.33,58.25,6.07,NA,"Standard","Right Foot","Ath9","Completed","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",9,"Hartlepool","Rotherham","First Half",00:11:36,"Pass",54.69,8.64,52.32,17.28,NA,"Standard","Right Foot","Ath8","Completed","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",8,"Hartlepool","Rotherham","First Half",00:11:37,"Pass",52.17,18.45,38.36,36.9,NA,"Standard","Right Foot","Ath6","Completed","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",6,"Hartlepool","Rotherham","First Half",00:11:41,"Pass",39.55,33.4,64.49,97.62,NA,"Switch","Right Foot","Ath11","Completed","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",6,"Hartlepool","Rotherham","First Half",00:12:00,"Duel",39.25,96.46,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aerial","Won",NA,NA,NA,NA,NA,NA,NA,NA
"53",11,"Hartlepool","Rotherham","First Half",00:12:20,"Throw in",43.85,101.13,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,"Retained",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",3,"Hartlepool","Rotherham","First Half",00:12:23,"Pass",16.98,86.65,0.95,80.81,NA,"Standard","Left Foot","Ath1","Completed","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1,"Hartlepool","Rotherham","First Half",00:12:25,"Pass",0.5,80.81,45.04,53.95,NA,"Other","Right Foot","Opposition","Incompleted","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2,"Hartlepool","Rotherham","First Half",00:12:42,"Block",6.29,36.9,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Successful","Chest",NA,NA,NA,NA
"57",7,"Hartlepool","Rotherham","First Half",00:12:44,"Duel",17.13,35.96,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ground","Won",NA,NA,NA,NA,NA,NA,NA,NA
"58",10,"Hartlepool","Rotherham","First Half",00:12:50,"Duel",27.23,18.91,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ground","Won",NA,NA,NA,NA,NA,NA,NA,NA
"59",2,"Hartlepool","Rotherham","First Half",00:13:06,"Throw in",51.87,-0.7,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,"Retained",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",9,"Hartlepool","Rotherham","First Half",00:13:08,"Pass",71.91,9.81,74.73,14.24,NA,"Other","Head","Ath7","Completed","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",7,"Hartlepool","Rotherham","First Half",00:13:10,"Pass",75.77,13.54,78.74,19.62,NA,"Other","Head","Opposition","Incompleted","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",1,"Hartlepool","Rotherham","First Half",00:13:25,"Pass",7.48,23.12,21.73,7.94,NA,"Standard","Right Foot","Ath5","Completed","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",5,"Hartlepool","Rotherham","First Half",00:13:28,"Pass",23.81,6.07,65.68,32.93,NA,"Through Ball","Right Foot","Opposition","Incompleted","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",7,"Hartlepool","Rotherham","First Half",00:13:31,"Pass",51.43,34.1,57.66,33.63,NA,"Standard","Left Foot","Ath9","Completed","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
